Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name,Height,Manufacturer_Part_Number,Arrow Part Number,Arrow Price/Stock
1,Unpolarized capacitor,C,C2 C5 C11 C12 C15,100p,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,5,~,581-12063A101FAT2A,https://no.mouser.com/ProductDetail/AVX/12063A101FAT2A?qs=Y1%2F2wzs%252B63syfZuGtnXFwA%3D%3D,,,,,
2,Unpolarized capacitor,C,C19,330p,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,~,80-C1206C331F3HACTU,https://no.mouser.com/ProductDetail/KEMET/C1206C331F3HACTU?qs=W0yvOO0ixfE2Qm7oN9qcZQ%3D%3D,,,,,
3,Unpolarized capacitor,C,C14,430p,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,~,77-VJ12A100V431J,https://no.mouser.com/ProductDetail/Vishay-Vitramon/VJ1206A431JXBAT/?qs=sbOXSeWPT5yYapLoCJrwWA%3D%3D,,,,,
4,Unpolarized capacitor,C,C6,470p,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,~,80-C1206C471F5G,https://no.mouser.com/ProductDetail/KEMET/C1206C471F5GACTU?qs=slLRK711bwGFkpel8EAHvQ%3D%3D,,,,,
5,Unpolarized capacitor,C,C1 C4 C7 C9 C13,0.01u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,5,~,80-C1206C103F3GECAUT,https://no.mouser.com/ProductDetail/KEMET/C1206C103F3GECAUTO?qs=MLItCLRbWszn6w2I8I0T6g%3D%3D,,,,,
6,Unpolarized capacitor,C,C17 C20 C22 C36 C37 C38 C39 C40 C41 C42 C43 C44 C45 C46 C47 C48 C49 C50 C51 C52 C53 C54 C55 C56 C57 C58 C59 C60 C61 C62 C63 C64 C65 C66 C67 C68 C69 C70 C71 C72 C73 C74 C75 C76 C77 C78 C79 C80 C81 C82,0.1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,50,~,80-C1206C104F5JACTU,https://no.mouser.com/ProductDetail/KEMET/C1206C104F5JAC7800?qs=gZXFycFWdAOIF48nFZgPGA%3D%3D,,,,,
7,Unpolarized capacitor,C,C3 C18 C21 C23 C83 C84,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,6,~,80-C1206C105J3R,https://no.mouser.com/ProductDetail/KEMET/C1206C105J3RACTU?qs=ET0bm%252B8TtG75uIhC3K7JNQ%3D%3D,,,,,
8,Unpolarized capacitor,C,C10,2.2u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,~,80-C1206C225J4RECLR,https://no.mouser.com/ProductDetail/KEMET/C1206C225J4REC7210?qs=55YtniHzbhAne4%2FiU8PHXw%3D%3D,,,,,
9,Unpolarized capacitor,C,C8,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,~,80-C1206C106J3RAUTO,https://no.mouser.com/ProductDetail/KEMET/C1206C106J3RACAUTO/?qs=sGAEpiMZZMsh%252B1woXyUXj8cbwg7mY%252Bp%2Fx7W%2Fhfl%2FLHk%3D,,,,,
10,Unpolarized capacitor,C,C16,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,~,80-C1206C226K8R7210,https://no.mouser.com/ProductDetail/KEMET/C1206C226K8RAC7210?qs=rrS6PyfT74d338OvQfUspw%3D%3D,,,,,
